Rk,Player▲,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
59,Tyreke Evans\evansty01,2014,2017,4,202,5957,1139,2603,144,477,560,752,184,972,1139,239,70,533,460,2982,0.438,0.302,0.745,29.5,14.8,4.8,5.6
60,Patrick Ewing\ewingpa02,2011,2011,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,0,0,0.75,2.7,0.4,0.3,0.3
61,Derrick Favors\favorde01,2020,2020,1,45,1089,189,305,1,7,36,62,147,445,75,25,44,51,99,415,0.62,0.143,0.581,24.2,9.2,9.9,1.7
62,Marcus Fizer\fizerma01,2006,2006,1,3,39,9,17,1,1,1,2,1,7,1,0,0,2,5,20,0.529,1,0.5,13,6.7,2.3,0.3
63,Jeff Foote\footeje01,2012,2012,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,0.333,,,9.8,1,1.5,0
64,Tim Frazier\fraziti01,2016,2019,3,128,2903,327,768,80,236,175,229,81,381,661,104,11,199,268,909,0.426,0.339,0.764,22.7,7.1,3,5.2
65,Jimmer Fredette\fredeji01,2015,2016,2,54,522,64,170,9,49,43,45,8,40,59,16,2,34,44,180,0.376,0.184,0.956,9.7,3.3,0.7,1.1
66,Matt Freije\freijma01,2005,2005,1,23,441,37,127,14,54,5,8,16,61,20,13,2,17,40,93,0.291,0.259,0.625,19.2,4,2.7,0.9
67,Langston Galloway\gallola01,2017,2017,1,55,1120,165,441,101,268,40,52,20,121,65,40,5,28,76,471,0.374,0.377,0.769,20.4,8.6,2.2,1.2
68,Alex Garcia\garcial01,2005,2005,1,8,146,18,52,5,18,3,4,7,15,18,4,1,8,15,44,0.346,0.278,0.75,18.3,5.5,1.9,2.3
69,Alonzo Gee\geeal01,2016,2016,1,73,1632,132,255,17,60,44,66,60,245,72,63,13,55,169,325,0.518,0.283,0.667,22.4,4.5,3.4,1
70,Archie Goodwin\goodwar01,2017,2017,1,3,30,2,5,1,2,10,10,0,0,1,0,1,0,1,15,0.4,0.5,1,10,5,0,0.3
71,Eric Gordon\gordoer01,2012,2016,5,221,7130,1170,2787,421,1080,629,768,80,525,726,225,52,470,452,3390,0.42,0.39,0.819,32.3,15.3,2.4,3.3
72,Aaron Gray\grayaa01,2010,2011,2,65,792,90,160,0,0,35,55,99,261,36,20,23,49,140,215,0.563,,0.636,12.2,3.3,4,0.6
73,Josh Gray\grayjo01,2020,2020,1,2,23,1,2,0,0,0,0,1,2,2,0,0,5,1,2,0.5,,,11.5,1,1,1
74,Willie Green\greenwi01,2011,2011,1,77,1674,270,609,54,155,78,100,22,161,74,36,13,67,143,672,0.443,0.348,0.78,21.7,8.7,2.1,1
75,Jordan Hamilton\hamiljo02,2016,2016,1,11,304,49,116,13,45,14,21,12,62,25,8,3,17,24,125,0.422,0.289,0.667,27.6,11.4,5.6,2.3
76,Junior Harrington\harriju01,2005,2005,1,29,550,64,178,6,19,29,35,13,63,62,25,5,41,72,163,0.36,0.316,0.829,19,5.6,2.2,2.1
77,Terrel Harris\harrite01,2013,2013,1,13,108,2,19,0,7,1,2,0,17,7,2,3,13,14,5,0.105,0,0.5,8.3,0.4,1.3,0.5
78,Andrew Harrison\harrian01,2019,2019,1,6,38,3,12,2,10,1,2,2,5,7,0,0,2,7,9,0.25,0.2,0.5,6.3,1.5,0.8,1.2
79,Jason Hart\hartja01,2010,2010,1,4,17,1,1,0,0,0,0,0,2,5,1,1,3,4,2,1,,,4.3,0.5,0.5,1.3
80,Josh Hart\hartjo01,2020,2020,1,57,1563,200,481,111,325,68,91,54,370,94,59,21,65,144,579,0.416,0.342,0.747,27.4,10.2,6.5,1.6
81,Kirk Haston\hastoki01,2003,2003,1,12,57,2,17,0,3,2,4,0,7,3,0,5,7,10,6,0.118,0,0.5,4.8,0.5,0.6,0.3
82,Jaxson Hayes\hayesja02,2020,2020,1,56,951,155,235,1,4,109,173,82,223,51,23,53,41,142,420,0.66,0.25,0.63,17,7.5,4,0.9
83,Xavier Henry\henryxa01,2012,2013,2,95,1384,156,389,11,28,110,177,45,196,48,42,13,66,131,433,0.401,0.393,0.621,14.6,4.6,2.1,0.5
84,Buddy Hield\hieldbu01,2017,2017,1,57,1161,185,471,89,241,29,33,19,166,77,18,7,48,81,488,0.393,0.369,0.879,20.4,8.6,2.9,1.4
85,Solomon Hill\hillso01,2017,2019,3,136,3439,262,697,130,392,129,166,94,476,218,102,43,122,284,783,0.376,0.332,0.777,25.3,5.8,3.5,1.6
86,Jrue Holiday\holidjr01,2014,2020,7,409,13718,2839,6150,621,1793,931,1202,340,1703,2803,631,263,1138,957,7230,0.462,0.346,0.775,33.5,17.7,4.2,6.9
87,Didier Ilunga-Mbenga\mbengdj01,2011,2011,1,41,330,23,49,0,0,13,18,35,86,6,6,27,21,52,59,0.469,,0.722,8,1.4,2.1,0.1
88,Brandon Ingram\ingrabr01,2020,2020,1,56,1919,469,1006,137,354,283,330,49,350,241,56,37,174,162,1358,0.466,0.387,0.858,34.3,24.3,6.3,4.3
89,Jarrett Jack\jackja01,2011,2017,3,117,2938,480,1101,68,197,273,318,37,307,473,73,15,185,174,1301,0.436,0.345,0.858,25.1,11.1,2.6,4
90,Bobby Jackson\jacksbo01,2007,2008,2,102,2221,320,814,107,309,170,217,65,288,217,82,9,109,157,917,0.393,0.346,0.783,21.8,9,2.8,2.1
91,Frank Jackson\jacksfr01,2019,2020,2,112,1825,293,704,92,289,102,137,44,205,110,40,6,91,159,780,0.416,0.318,0.745,16.3,7,1.8,1
92,Marc Jackson\jacksma02,2006,2007,2,83,1619,267,609,1,3,118,137,118,320,80,29,9,102,145,653,0.438,0.333,0.861,19.5,7.9,3.9,1
93,Casey Jacobsen\jacobca01,2005,2005,1,44,1030,100,251,32,88,103,130,18,100,76,22,7,44,48,335,0.398,0.364,0.792,23.4,7.6,2.3,1.7
94,Mike James\jamesmi01,2008,2009,2,29,257,30,89,10,27,7,8,4,24,14,6,0,10,19,77,0.337,0.37,0.875,8.9,2.7,0.8,0.5
95,Mike James\jamesmi02,2018,2018,1,4,18,2,9,0,1,0,0,1,1,6,1,0,1,3,4,0.222,0,,4.5,1,0.3,1.5
96,Carldell Johnson\johnsca01,2012,2012,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5
97,Chris Johnson\johnsch03,2012,2012,1,7,82,9,18,0,0,5,7,7,22,1,5,1,8,13,23,0.5,,0.714,11.7,3.3,3.1,0.1
